"","Taxa","Locality","Count","Rank","Unit","abndance","taxa"
"213",".Suidae","P26.U1",2,9,"U1",0.75,"Suid"
"214",".Proboscidea","P26.U1",3,10,"U1",0.833333333333333,"Prob"
"215",".Equidae","P26.U1",3,11,"U1",0.916666666666667,"Equi"
"216",".Bovidae","P26.U1",4,12,"U1",1,"Bovi"
"217",".Cetacea","P28.U1",1,1,"U1",0.0833333333333333,"Ceta"
"218",".Primate","P28.U1",2,2,"U1",0.166666666666667,"Prim"
"219",".Sirenia","P28.U1",2,3,"U1",0.25,"Sire"
"220",".Rhinocerotidae","P28.U1",5,4,"U1",0.333333333333333,"Rhin"
"221",".Giraffidae","P28.U1",6,5,"U1",0.416666666666667,"Gira"
"222",".Proboscidea","P28.U1",7,6,"U1",0.5,"Prob"
"223",".Hippopotamidae","P28.U1",11,7,"U1",0.583333333333333,"Hipp"
"224",".Carnivors","P28.U1",18,8,"U1",0.666666666666667,"Carn"
"225",".Equidae","P28.U1",25,9,"U1",0.75,"Equi"
"226",".Suidae","P28.U1",31,10,"U1",0.833333333333333,"Suid"
"227",".Bovidae","P28.U1",114,11,"U1",0.916666666666667,"Bovi"
"228",".Anthracotheriidae","P28.U1",138,12,"U1",1,"Anth"
"229",".Primate","P29.U1",0,1,"U1",0.0833333333333333,"Prim"
"230",".Cetacea","P29.U1",0,2,"U1",0.166666666666667,"Ceta"
"231",".Sirenia","P29.U1",0,3,"U1",0.25,"Sire"
"232",".Hippopotamidae","P29.U1",0,4,"U1",0.333333333333333,"Hipp"
"233",".Rhinocerotidae","P29.U1",1,5,"U1",0.416666666666667,"Rhin"
"234",".Carnivors","P29.U1",2,6,"U1",0.5,"Carn"
"235",".Proboscidea","P29.U1",2,7,"U1",0.583333333333333,"Prob"
"236",".Anthracotheriidae","P29.U1",2,8,"U1",0.666666666666667,"Anth"
"237",".Giraffidae","P29.U1",2,9,"U1",0.75,"Gira"
"238",".Equidae","P29.U1",3,10,"U1",0.833333333333333,"Equi"
"239",".Suidae","P29.U1",5,11,"U1",0.916666666666667,"Suid"
"240",".Bovidae","P29.U1",15,12,"U1",1,"Bovi"
"241",".Cetacea","P30.U1",0,1,"U1",0.0833333333333333,"Ceta"
